EKI liik	EKI nimi	EKI kood	EKI väärtus	EKI keel	LEX nimi	LEX kood
aliik_tyyp	aliik_tyyp	tlk	tõlkija	et	-	-
aliik_tyyp	aliik_tyyp	tlk	translator	en	-	-
alt_tyyp	alt_tyyp	v	või	et	-	-
alt_tyyp	alt_tyyp	tld	tilde	et	-	-
as_tyyp	as_tyyp	SS1	sõnastiku artikkel	et	-	-
as_tyyp	as_tyyp	SS1	sõnastiku artikkel	en	-	-
as_tyyp	as_tyyp	vp	vaegpöördeline (ainult 3.p)	et	-	-
as_tyyp	as_tyyp	vpa	vaegpöördeline (ainult ainsuse 3.p)	et	-	-
as_tyyp	as_tyyp	vpm	vaegpöördeline (v.a ainsuse 1. ja 2. p)	et	-	-
as_tyyp	as_tyyp	ab	andmebaasi vorm(id)	et	-	-
as_tyyp	as_tyyp	ap	paradigmasse jääb, kirjes ei näita	et	-	-
att_tyyp	att_tyyp	all	alltähendus	et	-	-
att_tyyp	att_tyyp	all	sense extension	en	-	-
dk_tyyp	dk_tyyp	as	abstraktsubstantiiv	et	-	-
dk_tyyp	dk_tyyp	komp	comparative	en	-	-
dk_tyyp	dk_tyyp	partits	partitsiip, kesksõna	et	-	-
dk_tyyp	dk_tyyp	partits	participle	en	-	-
dk_tyyp	dk_tyyp	superl	superlatiiv, ülivõrre	et	-	-
dk_tyyp	dk_tyyp	superl	superlative	en	-	-
dk_tyyp	dk_tyyp	tgn	substantive suffix -ja = actor	en	-	-
dk_tyyp	dk_tyyp	tn	substantive suffix -mine = act, process	en	-	-
dk_tyyp	dk_tyyp	adv	adverb (-lt)	et	deriv	adv
dk_tyyp	dk_tyyp	dem	KE/KENE	et	deriv	dem
dk_tyyp	dk_tyyp	dem	diminutive	en	deriv	dem
dk_tyyp	dk_tyyp	dem	deminutiiv, vähendussõna	et	deriv	dem
dk_tyyp	dk_tyyp	dem	deminutiiv, vähendussõna (-ke, -kene)	et	deriv	dem
dk_tyyp	dk_tyyp	dem	dem	la	deriv	dem
dk_tyyp	dk_tyyp	komp	M	et	deriv	komp
dk_tyyp	dk_tyyp	komp	comparative (degree)	en	deriv	komp
dk_tyyp	dk_tyyp	komp	komparatiiv, keskvõrre	et	deriv	komp
dk_tyyp	dk_tyyp	komp	komparatiiv, keskvõrre (-m)	et	deriv	komp
dk_tyyp	dk_tyyp	komp	keskv	et	deriv	komp
dk_tyyp	dk_tyyp	komp	komp	la	deriv	komp
dk_tyyp	dk_tyyp	sup	IM	et	deriv	superl
dk_tyyp	dk_tyyp	sup	superlative (degree)	en	deriv	superl
dk_tyyp	dk_tyyp	sup	superlatiiv, ülivõrre	et	deriv	superl
dk_tyyp	dk_tyyp	sup	superlatiiv, ülivõrre (-im)	et	deriv	superl
dk_tyyp	dk_tyyp	sup	üliv	et	deriv	superl
dk_tyyp	dk_tyyp	sup	superl	la	deriv	superl
dk_tyyp	dk_tyyp	tgn	JA	et	deriv	tgn
dk_tyyp	dk_tyyp	tgn	ja-derivative = actor	en	deriv	tgn
dk_tyyp	dk_tyyp	tgn	tegijanimi	et	deriv	tgn
dk_tyyp	dk_tyyp	tgn	tegijanimi (-ja)	et	deriv	tgn
dk_tyyp	dk_tyyp	tgn	tgn	et	deriv	tgn
dk_tyyp	dk_tyyp	tn	MINE	et	deriv	tn
dk_tyyp	dk_tyyp	tn	mine-derivative = act, process	en	deriv	tn
dk_tyyp	dk_tyyp	tn	teonimi	et	deriv	tn
dk_tyyp	dk_tyyp	tn	teonimi (-mine)	et	deriv	tn
dk_tyyp	dk_tyyp	tn	tn	et	deriv	tn
dk_tyyp	dk_tyyp	as	US	et	deriv	as
dk_tyyp	dk_tyyp	posit	_	et	deriv	posit
dk_tyyp	dk_tyyp	as	as	la	deriv	as
dk_tyyp	dk_tyyp	posit	algvõrre	et	deriv	posit
dk_tyyp	dk_tyyp	as	abstraktne substantiiv	et	deriv	as
dk_tyyp	dk_tyyp	posit	positiiv, algvõrre	et	deriv	posit
dk_tyyp	dk_tyyp	as	abstract substantive	en	deriv	as
