Päritolu	Kood	Alluvus	Väärtus	Keel
bolan	aiand	-	aiandus	et
bolan	aiand	-	gardening	en
bolan	aj	-	ajalugu	et
bolan	aj	-	history	en
bolan	anat	-	anatoomia	et
bolan	anat	-	anatomy	en
bolan	antr	-	antropoloogia	et
bolan	antr	-	anthropology	en
bolan	arheol	-	arheoloogia	et
bolan	arheol	-	archeology	en
bolan	astr	-	astronoomia	et
bolan	astr	-	astronomy	en
bolan	bibl	-	bibliograafia	et
bolan	bibl	-	bibliography	en
bolan	biol	-	bioloogia	et
bolan	biol	-	biology	en
bolan	bot	-	botaanika	et
bolan	bot	-	botany	en
bolan	ehit	-	ehitusala	et
bolan	ehit	-	building	en
bolan	el	-	elekter ja elektrotehnika	et
bolan	el	-	electricity	en
bolan	etn	-	etnograafia	et
bolan	etn	-	ethnography	en
bolan	farm	-	farmaatsia	et
bolan	farm	-	pharmacy	en
bolan	filos	-	filos	et
bolan	filos	-	philosophy	en
bolan	folkl	-	folkloor	et
bolan	folkl	-	folklore	en
bolan	fot	-	fotograafia	et
bolan	fot	-	photography	en
bolan	füsiol	-	füsioloogia	et
bolan	füsiol	-	physiology	en
bolan	füüs	-	füüsika	et
bolan	füüs	-	physics	en
bolan	geogr	-	geograafia	et
bolan	geogr	-	geography	en
bolan	geol	-	geoloogia	et
bolan	geol	-	geology	en
bolan	info	-	informaatika, arvutiteadus	et
bolan	info	-	information technology, computer science	en
bolan	jur	-	jurisprudents	et
bolan	jur	-	law	en
bolan	kal	-	kalandus	et
bolan	kal	-	fishery	en
bolan	keel	-	keeleteadus	et
bolan	keel	-	linguistics	en
bolan	keem	-	keemia	et
bolan	keem	-	chemistry	en
bolan	kirikl	-	kiriklik (luteri usuga seotud)	et
bolan	kirikl	-	ecclesiastical	en
bolan	kirj	-	kirjandusteadus	et
bolan	kirj	-	literature	en
bolan	kok	-	kokandus, kulinaaria	et
bolan	kok	-	culinary	en
bolan	kunst	-	kunst	et
bolan	kunst	-	art	en
bolan	loog	-	loogika	et
bolan	loog	-	logic	en
bolan	maj	-	majandus, majandusteadus	et
bolan	maj	-	economics	en
bolan	mat	-	matemaatika	et
bolan	mat	-	mathematics	en
bolan	med	-	meditsiin	et
bolan	med	-	medicine	en
bolan	mer	-	merendus	et
bolan	mer	-	nautical	en
bolan	meteor	-	meteoroloogia, klimatoloogia	et
bolan	meteor	-	meteorology	en
bolan	mets	-	metsandus	et
bolan	mets	-	forestry	en
bolan	muus	-	muusika	et
bolan	muus	-	music	en
bolan	mäend	-	mäendus	et
bolan	mäend	-	mining engineering	en
bolan	müt	-	mütoloogia	et
bolan	müt	-	mythology	en
bolan	nõuk	-	nõukogulik	et
bolan	nõuk	-	Soviet	en
bolan	paleont	-	paleontoloogia	et
bolan	paleont	-	paleontology	en
bolan	ped	-	pedagoogika	et
bolan	ped	-	education	en
bolan	pol	-	poliitika	et
bolan	pol	-	politics	en
bolan	psühh	-	psühholooogia	et
bolan	psühh	-	psychology	en
bolan	põll	-	põllumajandus	et
bolan	põll	-	agriculture	en
bolan	relig	-	religioon (uskumise, usundiga seotud)	et
bolan	relig	-	religion	en
bolan	sport	-	sport	et
bolan	sport	-	sports	en
bolan	sõj	-	sõjandus, riigikaitse	et
bolan	sõj	-	military science, national defence	en
bolan	zool	-	zooloogia	et
bolan	zool	-	zoology	en
bolan	teater	-	teater, teatriasjandus	et
bolan	teater	-	theater	en
bolan	tehn	-	tehnika	et
bolan	tehn	-	technology	en
bolan	tekst	-	tekstiilindus	et
bolan	tekst	-	textiles	en
bolan	trük	-	trükindus	et
bolan	trük	-	printing industry	en
bolan	vet	-	veterinaaria	et
bolan	vet	-	veterinary science	en
bolan	arhit	-	arhitektuur	et
bolan	arhit	-	architecture	en
bolan	aut	-	autondus	et
bolan	aut	-	automobile engineering	en
bolan	film	-	filmikunst	et
bolan	film	-	filmography	en
bolan	geod	-	geodeesia	et
bolan	geod	-	geodesy	en
bolan	hüdr	-	hüdraulika ja hüdrotehnika	et
bolan	hüdr	-	water engineering	en
bolan	jah	-	jahindus	et
bolan	jah	-	hunting	en
bolan	ker	-	keraamika	et
